ticker,horizon_years,start_price_drawdown,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
EWJ,5,0.0,2017-03-01,2022-02-28,60,600000.0,675699.30268,790580.121194,0.126166,0.317634,-0.145312,-0.280176,170.0,-0.30693,238.0,-0.209926,-0.123899
EWJ,5,-0.011081,2017-04-03,2022-03-31,60,600000.0,658447.362871,774920.73795,0.097412,0.291535,-0.150304,-0.280084,170.0,-0.30693,238.0,-0.212316,-0.122714
EWJ,5,-0.00535,2017-05-01,2022-04-29,60,600000.0,602390.788916,708053.443102,0.003985,0.180089,-0.14923,-0.279986,170.0,-0.30693,238.0,-0.214876,-0.12777
EWJ,5,0.0,2017-06-01,2022-05-31,60,600000.0,610988.688214,697401.290541,0.018314,0.162335,-0.123907,-0.279883,170.0,-0.30693,238.0,-0.217438,-0.155508
EWJ,5,-0.021242,2017-07-03,2022-06-30,60,600000.0,564327.047036,646296.836215,-0.059455,0.077161,-0.12683,-0.279776,170.0,-0.30693,238.0,-0.219315,-0.154939
EWJ,5,0.0,2017-08-01,2022-07-29,60,600000.0,598926.900073,665835.772112,-0.001788,0.109726,-0.100489,-0.279661,170.0,-0.30693,238.0,-0.221327,-0.180868
EWJ,5,-0.012684,2017-09-01,2022-08-31,60,600000.0,570452.399082,642359.755818,-0.049246,0.0706,-0.111942,-0.279543,170.0,-0.30693,238.0,-0.222632,-0.171999
EWJ,5,0.0,2017-10-02,2022-09-30,60,600000.0,519462.878978,572720.458007,-0.134229,-0.045466,-0.092991,-0.304407,,-0.326196,,-0.224319,-0.190131
EWJ,5,0.0,2017-11-01,2022-10-31,60,600000.0,531869.721939,553591.918197,-0.11355,-0.077347,-0.039239,-0.305584,,-0.331441,,-0.225498,-0.235032
EWJ,5,-0.006828,2017-12-01,2022-11-30,60,600000.0,594464.379692,611093.73649,-0.009226,0.01849,-0.027212,-0.305109,,-0.331441,,-0.225158,-0.243498
EWJ,5,0.0,2018-01-02,2022-12-30,60,600000.0,581033.386789,587207.989267,-0.031611,-0.02132,-0.010515,-0.304622,,-0.331441,,-0.224479,-0.25658
EWJ,5,-0.021957,2018-02-01,2023-01-31,60,600000.0,626358.31805,603218.555372,0.043931,0.005364,0.03836,-0.304126,,-0.331441,,-0.223244,-0.29137
EWJ,5,-0.083037,2018-03-01,2023-02-28,60,600000.0,597129.427282,613460.992058,-0.004784,0.022435,-0.026622,-0.303636,,-0.331441,,-0.220519,-0.244168
EWJ,5,-0.080563,2018-04-02,2023-03-31,60,600000.0,626231.954919,641886.695351,0.04372,0.069811,-0.024389,-0.303093,,-0.331441,,-0.219533,-0.246202
EWJ,5,-0.063089,2018-05-01,2023-04-28,60,600000.0,627086.706353,631525.451322,0.045145,0.052542,-0.007029,-0.302531,,-0.331441,,-0.218374,-0.26026
EWJ,5,-0.069893,2018-06-01,2023-05-31,60,600000.0,631897.507191,641550.801679,0.053163,0.069251,-0.015047,-0.301956,,-0.331441,,-0.21647,-0.254849
EWJ,5,-0.111934,2018-07-02,2023-06-30,60,600000.0,662711.423358,705734.647559,0.104519,0.176224,-0.060962,-0.301354,,-0.331441,,-0.214642,-0.219574
EWJ,5,-0.082016,2018-08-01,2023-07-31,60,600000.0,677147.884115,699498.346155,0.12858,0.165831,-0.031952,-0.300697,,-0.331441,,-0.214396,-0.245009
EWJ,5,-0.103987,2018-09-04,2023-08-31,60,600000.0,656646.993183,696537.079808,0.094412,0.160895,-0.057269,-0.300032,,-0.331441,,-0.212785,-0.226496
EWJ,5,-0.055057,2018-10-01,2023-09-29,60,600000.0,640628.803405,646004.609299,0.067715,0.076674,-0.008322,-0.299322,,-0.331441,,-0.212023,-0.266548
EWJ,5,-0.147463,2018-11-01,2023-10-31,60,600000.0,625831.766017,700229.316442,0.043053,0.167049,-0.106247,-0.298617,,-0.331441,,-0.208816,-0.18705
EWJ,5,-0.125959,2018-12-03,2023-11-30,60,600000.0,662621.979443,725283.361292,0.10437,0.208806,-0.086396,-0.2978,,-0.331441,,-0.210176,-0.207051
EWJ,5,-0.198474,2019-01-02,2023-12-29,60,600000.0,686070.794934,821595.512446,0.143451,0.369326,-0.164953,-0.296962,,-0.331441,,-0.210384,-0.135312
EWJ,5,-0.151048,2019-02-01,2024-01-31,60,600000.0,704494.180995,800732.09011,0.174157,0.334553,-0.120187,-0.295999,447.0,-0.331441,,-0.215747,-0.183617
EWJ,5,-0.143824,2019-03-01,2024-02-29,60,600000.0,731854.164585,828872.290867,0.219757,0.381454,-0.117048,-0.29504,447.0,-0.331441,,-0.218218,-0.190505
EWJ,5,-0.129848,2019-04-01,2024-03-28,60,600000.0,751350.458539,841870.943978,0.252251,0.403118,-0.107523,-0.294036,447.0,-0.331441,503.0,-0.220527,-0.203507
EWJ,5,-0.132675,2019-05-01,2024-04-30,60,600000.0,704728.974316,796317.291257,0.174548,0.327195,-0.115015,-0.292992,447.0,-0.331441,503.0,-0.222075,-0.200911
EWJ,5,-0.167223,2019-06-03,2024-05-31,60,600000.0,719208.193447,850311.96297,0.19868,0.417187,-0.154183,-0.291971,470.0,-0.331441,503.0,-0.224191,-0.167761
EWJ,5,-0.122721,2019-07-01,2024-06-28,60,600000.0,712638.113482,804540.502048,0.18773,0.340901,-0.11423,-0.29089,468.0,-0.331441,503.0,-0.230461,-0.209978
EWJ,5,-0.138885,2019-08-01,2024-07-31,60,600000.0,737671.478752,852432.795228,0.229452,0.420721,-0.134628,-0.289799,468.0,-0.331441,503.0,-0.233022,-0.195148
EWJ,5,-0.145065,2019-09-03,2024-08-30,60,600000.0,744312.569516,870693.074658,0.240521,0.451155,-0.145149,-0.288615,458.0,-0.331441,503.0,-0.238432,-0.18933
EWJ,5,-0.104814,2019-10-01,2024-09-30,60,600000.0,735532.303493,826575.208932,0.225887,0.377625,-0.110145,-0.287343,457.0,-0.331441,503.0,-0.246616,-0.225781
EWJ,5,-0.060919,2019-11-01,2024-10-31,60,600000.0,696249.4452,749720.064707,0.160416,0.249533,-0.071321,-0.286044,457.0,-0.331441,503.0,-0.250783,-0.26197
EWJ,5,-0.060126,2019-12-02,2024-11-29,60,600000.0,710278.401782,766915.539776,0.183797,0.278193,-0.073851,-0.284723,457.0,-0.331441,503.0,-0.247986,-0.262593
EWJ,5,-0.040093,2020-01-02,2024-12-31,60,600000.0,691725.45354,734296.554514,0.152876,0.223828,-0.057975,-0.283314,456.0,-0.331441,503.0,-0.243117,-0.277982
EWJ,5,-0.066873,2020-02-03,2025-01-31,60,600000.0,701934.232983,768991.656497,0.16989,0.281653,-0.087202,-0.281837,456.0,-0.331441,503.0,-0.225684,-0.257261
EWJ,5,-0.139997,2020-03-02,2025-02-28,60,600000.0,700851.479027,836331.157577,0.168086,0.393885,-0.161993,-0.280208,451.0,-0.331441,503.0,-0.194108,-0.194108
EWJ,5,-0.245673,2020-04-01,2025-03-31,60,600000.0,697721.637871,954748.935484,0.162869,0.591248,-0.269209,-0.2783,442.0,-0.331441,503.0,-0.184278,-0.009992
EWJ,5,-0.184577,2020-05-01,2025-04-30,60,600000.0,720824.104224,920185.515939,0.201374,0.533643,-0.216653,-0.275922,442.0,-0.331441,503.0,-0.192881,-0.006632
EWJ,5,-0.097983,2020-06-01,2025-05-30,60,600000.0,742470.305435,863174.627569,0.237451,0.438624,-0.139838,-0.273502,260.0,-0.331441,503.0,-0.199304,-0.101995
EWJ,5,-0.1141,2020-07-01,2025-06-30,60,600000.0,752466.507853,896152.702225,0.254111,0.493588,-0.160337,-0.271104,259.0,-0.331441,503.0,-0.203126,-0.085658
EWJ,5,-0.103917,2020-08-03,2025-07-31,60,600000.0,734142.231978,870015.347857,0.22357,0.450026,-0.156173,-0.268427,259.0,-0.331441,503.0,-0.20792,-0.096048
EWJ,5,-0.05963,2020-09-01,2025-08-29,60,600000.0,775762.320624,881518.495484,0.292937,0.469197,-0.11997,-0.265513,259.0,-0.331441,503.0,-0.212678,-0.13862
EWJ,5,-0.045083,2020-10-01,2025-09-30,60,600000.0,790098.162242,889492.62061,0.31683,0.482488,-0.111743,-0.262448,252.0,-0.331441,503.0,-0.216046,-0.151742
EWJ,5,-0.048801,2020-11-02,2025-10-31,60,600000.0,816993.550464,929039.497052,0.361656,0.548399,-0.120604,-0.259111,252.0,-0.331441,503.0,-0.219131,-0.148427
