ticker,start_year,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
EWJ,2021,2021-01-04,2026-08-31,68,680000.0,1054824.845373,1107969.557847,0.551213,0.629367,-0.047966,-0.25169,252.0,-0.331441,503.0,-0.222234,-0.252261
EWJ,2022,2022-01-03,2026-08-31,56,560000.0,864308.289601,890411.285676,0.543408,0.59002,-0.029316,-0.165613,107.0,-0.280621,449.0,-0.164285,-0.270318
EWJ,2023,2023-01-03,2026-08-31,44,440000.0,640718.001228,847154.712014,0.456177,0.925352,-0.243682,-0.143396,21.0,-0.146762,22.0,-0.030062,-0.023217
EWJ,2024,2024-01-02,2026-08-31,32,320000.0,429797.968595,519317.622985,0.343119,0.622868,-0.172379,-0.142181,21.0,-0.146762,22.0,-0.091114,-0.012927
EWJ,2025,2025-01-02,2026-08-31,20,200000.0,250002.391023,300902.784998,0.250012,0.504514,-0.169159,-0.134234,21.0,-0.14477,21.0,-0.098374,-0.084913
EWJ,2026,2026-01-02,2026-08-31,8,80000.0,86826.222427,94824.478801,0.085328,0.185306,-0.084348,-0.12478,47.0,-0.135894,76.0,-0.051994,-0.001598
BND,2010,2010-09-09,2026-08-31,192,1920000.0,2216180.221468,2702184.270845,0.154261,0.407388,-0.179856,-0.179481,1092.0,-0.185821,,-0.022983,-0.018035
BND,2011,2011-01-03,2026-08-31,188,1880000.0,2160168.397591,2661597.318282,0.149026,0.415743,-0.188394,-0.179266,1092.0,-0.185821,,-0.01528,-0.011451
BND,2012,2012-01-03,2026-08-31,176,1760000.0,1995891.420225,2312966.002776,0.134029,0.314185,-0.137086,-0.178544,1089.0,-0.185821,,-0.032113,-0.009846
BND,2013,2013-01-02,2026-08-31,164,1640000.0,1841937.315026,2090406.233534,0.123133,0.274638,-0.118862,-0.177707,1057.0,-0.185821,,-0.040897,-0.039642
BND,2014,2014-01-02,2026-08-31,152,1520000.0,1687231.485264,1974371.263189,0.110021,0.298928,-0.145434,-0.176646,1054.0,-0.185821,,-0.054571,-0.000998
