ticker,episode_peak,episode_depth,start_point,horizon_years,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
VT,2015-05-21,-0.197898,recovery,3,2016-12-13,2019-11-29,36,360000.0,413397.703471,487778.102084,0.148327,0.354939,-0.152488,-0.178783,109.0,-0.199726,308.0,-0.088342,-0.016093
VT,2015-05-21,-0.197898,recovery,5,2016-12-13,2021-11-30,60,600000.0,863638.518238,1117132.665128,0.439398,0.861888,-0.226915,-0.341071,142.0,-0.342362,154.0,-0.208588,-0.053362
VT,2018-01-26,-0.199726,peak,1,2018-01-26,2018-12-31,12,120000.0,106959.57821,100855.293007,-0.10867,-0.159539,0.060525,-0.168765,,-0.199726,,-0.151289,-0.199726
VT,2018-01-26,-0.199726,peak,3,2018-01-26,2020-12-31,36,360000.0,461832.85967,447342.007609,0.282869,0.242617,0.032393,-0.340348,135.0,-0.342362,154.0,-0.247503,-0.280209
VT,2018-01-26,-0.199726,peak,5,2018-01-26,2022-12-30,60,600000.0,667371.6381,723011.503189,0.112286,0.205019,-0.076956,-0.340348,135.0,-0.342362,154.0,-0.247503,-0.280209
VT,2018-01-26,-0.199726,trough,1,2018-12-24,2019-11-29,12,120000.0,132861.095725,154484.444035,0.107176,0.28737,-0.139971,-0.064763,29.0,-0.067294,68.0,0.0,0.0
VT,2018-01-26,-0.199726,trough,3,2018-12-24,2021-11-30,36,360000.0,478139.529737,636853.750317,0.328165,0.769038,-0.249216,-0.33896,120.0,-0.342362,154.0,-0.246463,-0.100569
VT,2018-01-26,-0.199726,trough,5,2018-12-24,2023-11-30,60,600000.0,731041.032998,1048343.538918,0.218402,0.747239,-0.30267,-0.33896,120.0,-0.342362,154.0,-0.246463,-0.100569
VT,2018-01-26,-0.199726,recovery,1,2019-10-28,2020-09-30,12,120000.0,129993.665629,128424.745569,0.083281,0.070206,0.012217,-0.332501,74.0,-0.342362,154.0,-0.300052,-0.284006
VT,2018-01-26,-0.199726,recovery,3,2019-10-28,2022-09-30,36,360000.0,333348.238915,392017.788389,-0.074033,0.088938,-0.14966,-0.332501,74.0,-0.342362,154.0,-0.300052,-0.284006
VT,2018-01-26,-0.199726,recovery,5,2019-10-28,2024-09-30,60,600000.0,828433.145245,1033897.98646,0.380722,0.723163,-0.198728,-0.332501,74.0,-0.342362,154.0,-0.300052,-0.284006
VT,2020-02-12,-0.342362,peak,1,2020-02-12,2021-01-29,12,120000.0,144587.55315,135929.188112,0.204896,0.132743,0.063698,-0.311341,56.0,-0.342362,154.0,-0.311341,-0.342362
VT,2020-02-12,-0.342362,peak,3,2020-02-12,2023-01-31,36,360000.0,387831.915425,426652.752963,0.077311,0.185147,-0.090989,-0.311341,56.0,-0.342362,154.0,-0.311341,-0.342362
VT,2020-02-12,-0.342362,peak,5,2020-02-12,2025-01-31,60,600000.0,815909.260036,967689.771233,0.359849,0.612816,-0.156848,-0.311341,56.0,-0.342362,154.0,-0.311341,-0.342362
VT,2020-02-12,-0.342362,trough,1,2020-03-23,2021-02-26,12,120000.0,151875.721028,212220.104624,0.265631,0.768501,-0.284348,-0.073806,19.0,-0.073806,43.0,0.0,0.0
VT,2020-02-12,-0.342362,trough,3,2020-03-23,2023-02-28,36,360000.0,378494.845406,628137.693688,0.051375,0.744827,-0.397433,-0.236921,,-0.26382,,-0.082313,0.0
VT,2020-02-12,-0.342362,trough,5,2020-03-23,2025-02-28,60,600000.0,813361.981427,1465386.296095,0.355603,1.44231,-0.44495,-0.236921,286.0,-0.26382,474.0,-0.082313,0.0
VT,2020-02-12,-0.342362,recovery,1,2020-08-24,2021-07-30,12,120000.0,137927.78175,154270.857858,0.149398,0.28559,-0.105938,-0.073806,16.0,-0.073806,43.0,-0.054786,-0.046226
VT,2020-02-12,-0.342362,recovery,3,2020-08-24,2023-07-31,36,360000.0,399517.804004,466252.181818,0.109772,0.295145,-0.143129,-0.229403,258.0,-0.26382,,-0.150523,-0.046226
VT,2020-02-12,-0.342362,recovery,5,2020-08-24,2025-07-31,60,600000.0,826222.265423,1044803.927142,0.377037,0.74134,-0.209208,-0.229403,258.0,-0.26382,474.0,-0.150523,-0.046226
VT,2021-11-08,-0.26382,peak,1,2021-11-08,2022-10-31,12,120000.0,106650.278296,94225.78511,-0.111248,-0.214785,0.131859,-0.181229,,-0.26382,,-0.177288,-0.26382
VT,2021-11-08,-0.26382,peak,3,2021-11-08,2024-10-31,36,360000.0,444301.534556,411332.422659,0.234171,0.14259,0.080152,-0.181229,118.0,-0.26382,474.0,-0.177288,-0.26382
VT,2021-11-08,-0.26382,trough,1,2022-10-12,2023-09-29,12,120000.0,124293.229424,145221.753869,0.035777,0.210181,-0.144114,-0.071454,,-0.07689,79.0,0.0,0.0
