Date,ml:logistic_regression/base,ml:logistic_regression/extended,ml:random_forest/base,ml:random_forest/extended,ml:hist_gradient_boosting/base,ml:hist_gradient_boosting/extended,baseline:always_up,baseline:historical_mean,baseline:momentum_252d,baseline:moving_average_200d,baseline:random
2018-06-26,13328.986597,13507.486408,14234.028607,14178.701054,13007.100417,13877.665135,14178.701054,14178.701054,13737.788471,13737.788471,12633.097926
2018-06-27,13218.356878,13395.375152,14115.887099,14061.018760,12899.142332,13762.481419,14061.018760,14061.018760,13623.765723,13623.765723,12528.244038
2018-06-28,13298.886507,13476.983222,14201.884712,14146.682102,12977.727224,13846.325995,14146.682102,14146.682102,13706.765206,13706.765206,12604.569321
2018-06-29,13332.549986,13511.097517,14237.833951,14182.491607,13010.577752,13881.375208,14182.491607,14182.491607,13741.461149,13741.461149,12636.475275
2018-07-02,13348.044067,13526.799093,14254.380085,14198.973426,13025.697662,13897.507092,14198.973426,14198.973426,13757.430436,13757.430436,12651.160431
2018-07-03,13294.075192,13472.107474,14196.746707,14141.564069,12973.032099,13841.316625,14141.564069,14141.564069,13701.806328,13701.806328,12574.834361
2018-07-05,13407.893644,13587.450167,14318.293466,14262.638375,13084.101911,13959.820336,14262.638375,14262.638375,13819.115608,13819.115608,12574.834361
2018-07-06,13519.572398,13700.624506,14437.555239,14381.436580,13193.083698,14076.096269,14381.436580,14381.436580,13934.219565,13934.219565,12577.587063
2018-07-09,13639.264152,13821.919154,14565.374097,14508.758607,13309.884975,14200.715051,14508.758607,14508.758607,14057.582282,14057.582282,12577.587063
2018-07-10,13686.825033,13870.116963,14616.164376,14559.351464,13356.297292,14250.233743,14559.351464,14559.351464,14106.601861,14106.601861,12578.955645
2018-07-11,13593.313827,13775.353469,14516.303732,14459.878977,13265.044320,14152.873212,14459.878977,14459.878977,14010.222653,14010.222653,12578.955645
2018-07-12,13709.799271,13893.398868,14640.698571,14583.790294,13378.716717,14274.153699,14583.790294,14583.790294,14130.280722,14130.280722,12578.955645
2018-07-13,13721.554199,13905.311217,14653.251662,14596.294592,13390.187772,14286.392511,14596.294592,14596.294592,14142.396175,14142.396175,12580.331996
2018-07-16,13713.009281,13896.651867,14644.126541,14587.204941,13381.849208,14277.495847,14587.204941,14587.204941,14133.589184,14133.589184,12581.710936
2018-07-17,13771.787621,13956.217358,14706.895948,14649.730363,13439.208090,14338.693757,14649.730363,14649.730363,14194.170264,14194.170264,12581.710936
2018-07-18,13796.900632,13981.666679,14733.714140,14676.444313,13463.714639,14364.840528,14676.444313,14676.444313,14220.053494,14220.053494,12583.082108
2018-07-19,13744.531211,13928.595934,14677.788820,14620.736375,13412.609905,14310.315356,14620.736375,14620.736375,14166.077896,14166.077896,12584.459754
2018-07-20,13731.708747,13915.601753,14664.095707,14607.096486,13400.097094,14296.965064,14607.096486,14607.096486,14152.862165,14152.862165,12585.832220
2018-07-23,13757.893920,13942.137594,14692.058860,14634.950947,13425.649913,14324.228131,14634.950947,14634.950947,14179.850441,14179.850441,12584.459754
2018-07-24,13822.549262,14007.658791,14761.104318,14703.728026,13488.743871,14391.544966,14703.728026,14703.728026,14246.488771,14246.488771,12587.209866
2018-07-25,13949.186478,14135.991914,14896.340238,14838.438285,13612.322883,14523.395116,14838.438285,14838.438285,14377.009969,14377.009969,12585.832220
2018-07-26,13908.042843,14094.297289,14852.402938,14794.671769,13572.172839,14480.557831,14794.671769,14794.671769,14334.604452,14334.604452,12587.209866
2018-07-27,13817.737021,14002.782106,14755.965326,14698.609009,13484.047843,14386.534633,14698.609009,14698.609009,14241.528939,14241.528939,12589.959978
2018-07-30,13738.119517,13922.098375,14670.941769,14613.915938,13406.353048,14303.639729,14613.915938,14613.915938,14159.469554,14159.469554,12588.586217
2018-07-31,13807.586173,13992.495319,14745.125232,14687.811050,13474.142131,14375.965932,14687.811050,14687.811050,14231.066763,14231.066763,12591.336329
2018-08-01,13790.487087,13975.167244,14726.865113,14669.621908,13457.455977,14358.162974,14669.621908,14669.621908,14213.443245,14213.443245,12592.025151
2018-08-02,13860.487512,14046.105105,14801.618587,14744.084816,13525.765938,14431.044918,14744.084816,14744.084816,14285.590593,14285.590593,12568.238575
2018-08-03,13928.349164,14114.875550,14874.088065,14816.272605,13591.988776,14501.700048,14816.272605,14816.272605,14355.533571,14355.533571,12629.773310
2018-08-06,13980.715810,14167.943482,14930.010420,14871.977591,13643.090802,14556.222331,14871.977591,14871.977591,14409.506309,14409.506309,12677.257679
2018-08-07,14019.723447,14207.473504,14971.666688,14913.471941,13681.156431,14596.835691,14913.471941,14913.471941,14449.710316,14449.710316,12712.628534
