Date,US equity,Global equity,US + Japan,US 60/40,Global 60/40,Conservative
2018-09-12,3.06886,2.12735,2.578311,2.157993,1.726262,1.548466
2018-09-13,3.0863,2.14066,2.594396,2.166138,1.733236,1.551642
2018-09-14,3.087917,2.142076,2.60342,2.1655,1.732811,1.550964
2018-09-17,3.070477,2.13443,2.593145,2.157769,1.728966,1.548193
2018-09-18,3.087223,2.149439,2.620553,2.163231,1.73479,1.549512
2018-09-19,3.090688,2.15482,2.625265,2.163505,1.7364,1.549157
2018-09-20,3.115521,2.174927,2.6424,2.1754,1.747148,1.553997
2018-09-21,3.113326,2.17436,2.642668,2.174957,1.747301,1.554025
2018-09-24,3.102931,2.164732,2.632985,2.169376,1.741704,1.55165
2018-09-25,3.09912,2.167564,2.636222,2.167089,1.742578,1.550583
2018-09-26,3.090036,2.163922,2.634262,2.165186,1.742515,1.550645
2018-09-27,3.098621,2.165628,2.637525,2.169561,1.743871,1.552576
2018-09-28,3.098273,2.157662,2.635829,2.169409,1.739955,1.552521
2018-10-01,3.109759,2.164491,2.647909,2.172907,1.74204,1.553274
2018-10-02,3.109412,2.154247,2.645966,2.174208,1.738215,1.554333
2018-10-03,3.112079,2.154247,2.641041,2.171225,1.734755,1.551719
2018-10-04,3.086555,2.13063,2.615447,2.157988,1.721415,1.546206
2018-10-05,3.069152,2.117826,2.604948,2.148925,1.713909,1.542402
2018-10-08,3.068341,2.113273,2.607667,2.148259,1.711412,1.542044
2018-10-09,3.064396,2.108152,2.601056,2.148089,1.710192,1.542501
2018-10-10,2.965432,2.048399,2.522722,2.104185,1.680298,1.526279
2018-10-11,2.903014,2.012547,2.471764,2.079169,1.664577,1.517995
2018-10-12,2.942229,2.035309,2.497307,2.096111,1.675594,1.52413
2018-10-15,2.926101,2.026773,2.485362,2.088851,1.671225,1.521442
2018-10-16,2.988404,2.066893,2.536372,2.116721,1.691466,1.531937
2018-10-17,2.989447,2.058642,2.536515,2.115725,1.686199,1.53104
2018-10-18,2.947449,2.026773,2.498021,2.096839,1.6701,1.523926
2018-10-19,2.945128,2.028766,2.498088,2.095409,1.670733,1.5233
2018-10-22,2.932947,2.023075,2.486326,2.089771,1.667676,1.52122
2018-10-23,2.915311,2.009132,2.467524,2.083198,1.661774,1.519229
2018-10-24,2.828298,1.947671,2.392405,2.047321,1.633376,1.506925
2018-10-25,2.878998,1.980109,2.433242,2.068561,1.648544,1.514419
2018-10-26,2.828065,1.955923,2.393499,2.047738,1.637866,1.507368
2018-10-29,2.813448,1.94255,2.378395,2.040619,1.630686,1.504492
2018-10-30,2.85649,1.971004,2.415053,2.058303,1.643722,1.510557
2018-10-31,2.886423,1.98893,2.439876,2.069734,1.651151,1.514189
2018-11-01,2.916356,2.020229,2.45654,2.084322,1.667786,1.520187
2018-11-02,2.898257,2.015961,2.449326,2.073392,1.663173,1.515074
2018-11-05,2.914732,2.021367,2.456909,2.081221,1.66635,1.518223
2018-11-06,2.933179,2.031611,2.475834,2.089185,1.671299,1.521104
2018-11-07,2.995132,2.066609,2.520821,2.117008,1.689112,1.531621
2018-11-08,2.990027,2.050105,2.513254,2.113424,1.679871,1.529862
2018-11-09,2.962416,2.033887,2.489476,2.103324,1.673546,1.526984
2018-11-12,2.905218,1.998034,2.44529,2.079555,1.656962,1.518678
2018-11-13,2.900346,2.001164,2.439844,2.077009,1.658154,1.517642
2018-11-14,2.880506,1.994336,2.430083,2.068955,1.655317,1.514868
2018-11-15,2.910323,2.011977,2.45224,2.0821,1.664076,1.519876
2018-11-16,2.917748,2.015961,2.457266,2.087115,1.667509,1.522412
2018-11-19,2.869369,1.988361,2.424769,2.065956,1.653941,1.514606
2018-11-20,2.81658,1.951939,2.380183,2.042349,1.635602,1.505861
2018-11-21,2.825978,1.97015,2.396058,2.047291,1.645248,1.508078
2018-11-23,2.807763,1.957631,2.382467,2.03922,1.639007,1.505082
2018-11-26,2.851734,1.986084,2.418332,2.057828,1.652475,1.511725
2018-11-27,2.860667,1.986369,2.423166,2.062255,1.653049,1.513538
2018-11-28,2.927494,2.024497,2.472859,2.091898,1.672139,1.524608
2018-11-29,2.921461,2.019375,2.466827,2.089883,1.670141,1.524148
2018-11-30,2.940836,2.023359,2.479272,2.098668,1.67236,1.527533
2018-12-03,2.977149,2.050959,2.51071,2.115822,1.686989,1.534273
2018-12-04,2.884799,1.990637,2.428747,2.077412,1.658986,1.520968
2018-12-06,2.877489,1.980393,2.423296,2.075675,1.655168,1.520967
2018-12-07,2.810663,1.943973,2.377561,2.048116,1.638655,1.511526
2018-12-10,2.814028,1.939704,2.374545,2.050422,1.637252,1.512728
2018-12-11,2.81484,1.940558,2.374546,2.050881,1.637758,1.512883
2018-12-12,2.830387,1.961614,2.391949,2.056847,1.647414,1.514866
2018-12-13,2.829458,1.957915,2.389404,2.057066,1.646117,1.515226
2018-12-14,2.77725,1.927185,2.349995,2.034963,1.631619,1.507441
2018-12-17,2.720548,1.895316,2.310191,2.011727,1.617257,1.499546
2018-12-18,2.719498,1.897877,2.311357,2.012519,1.619559,1.500295
2018-12-19,2.676105,1.873407,2.275276,1.995,1.608747,1.494357
2018-12-20,2.632129,1.853489,2.24507,1.974621,1.597999,1.486567
2018-12-21,2.579756,1.821336,2.193415,1.951716,1.582193,1.478271
2018-12-24,2.508718,1.787187,2.143326,1.920835,1.565562,1.46707
